"","leukemia","lung.neoplasms","colorectal.carcinoma","atherosclerosis","sepsis","melanoma","diabetes.mellitus","multiple.sclerosis","crohn.disease","heart.failure","rheumatoid.arthritis","coronary.artery.disease","obesity","myocardial.infarction","pulmonary.hypertension","anemia","diabetic.nephropathy","parkinson.disease","multiple.myeloma","schizophrenia","gastrointestinal.neoplasms","esophageal.neoplasms","glioblastoma","influenza","glioma","glomerulonephritis","male.infertility","osteosarcoma","epilepsy","liver.neoplasms","major.depressive.disorder","cutaneous.melanoma","inflammatory.bowel.diseases","endometrial.neoplasms","asthma","brain.neoplasms","psoriasis","autistic.disorder","medulloblastoma","cerebral.ischemia","ischemia","liver.cirrhosis","stevens.johnson.syndrome","inflammation","mesothelioma","skin.neoplasms","head.and.neck.neoplasms","osteoporosis","colitis","cardiomegaly","psychotic.disorders","salivary.gland.neoplasms","bipolar.disorder","growth.disorders","pneumonia","squamous.cell.carcinoma","osteogenesis.imperfecta","hypoxia","primary.biliary.cirrhosis","breast.adenocarcinoma","heart.valve.disease","status.epilepticus","thrombocytopenia","keloid","aortic.aneurysm..thoracic"
"hsa-mir-29b-3p",0,2,3,1,2,1,0,1,1,1,2,0,0,2,0,0,1,0,1,2,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,4,1,3,1,1,0,2,1,0,1,0,2,0,2,1,2,0,0,0,1,0,1,1,2
"hsa-mir-20a-5p",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"hsa-mir-195-5p",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"hsa-mir-424-5p",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"hsa-mir-34a-5p",1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"hsa-mir-503-5p",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"hsa-mir-155-5p",1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,1,0,0,0,0,2,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"hsa-mir-16-5p",1,3,0,1,1,2,0,1,1,2,1,1,1,0,0,0,0,1,1,3,0,1,0,0,0,1,0,0,0,2,2,1,0,0,1,1,0,1,0,0,1,0,1,2,1,0,0,0,2,1,0,1,1,1,2,1,0,0,0,0,0,1,0,0,0
"hsa-mir-15a-5p",1,2,0,1,1,2,0,1,1,1,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,1,2,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0
"hsa-mir-135b-5p",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-135a-5p",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7b-5p",1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"hsa-mir-9-5p",1,2,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0
"hsa-mir-15b-5p",1,3,1,1,2,2,0,1,1,1,1,0,0,1,0,0,1,0,1,3,0,1,0,0,0,1,0,0,1,1,2,1,1,0,1,1,0,1,0,0,0,1,1,2,1,1,0,1,1,0,1,1,2,0,2,2,0,0,0,0,0,0,0,0,0
"hsa-mir-146a-5p",1,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,2,0,0,1,0,0,0,0,0,0
"hsa-mir-146b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"hsa-mir-181a-5p",0,4,0,2,2,2,1,1,1,2,1,1,1,1,0,1,0,0,0,4,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,2,1,0,1,3,3,0,1,0,2,0,0,0,3,0,2,1,0,1,0,1,1,1,1,0,0
"hsa-mir-449a",1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"hsa-mir-196a-5p",0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
"hsa-mir-216a-5p",0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"hsa-mir-24-3p",1,5,1,2,2,2,0,1,2,2,1,2,1,1,1,0,2,1,2,5,0,1,0,1,0,2,0,0,1,3,3,1,1,1,3,1,1,1,0,2,1,2,1,4,2,1,0,1,2,1,1,1,3,1,4,3,0,0,0,1,1,2,0,0,0
"hsa-mir-192-5p",0,3,2,2,1,0,1,0,0,2,0,0,2,0,0,0,1,0,1,3,1,0,1,0,1,0,0,1,0,3,1,0,1,0,0,1,0,2,1,1,1,1,0,1,3,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0
"hsa-mir-190a-5p",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"hsa-mir-17-5p",1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"hsa-mir-106b-5p",1,2,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1,1,2,0,1,0,0,1,0,2,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"hsa-mir-30c-5p",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
